customer_id,total_amount
1,22466.9
2,14463.05
3,33274.68
4,25686.53
5,14111.24
6,24387.61
7,19311.13
8,48561.01
9,36579.52
10,26629.760000000002
11,25876.63
12,22551.0
13,28060.65
14,29876.01
15,21740.7
16,33192.090000000004
17,52952.35
18,17622.95
19,36213.89
20,26713.13
21,44777.270000000004
22,29176.46
23,26447.7
24,27271.55
25,39686.31
26,30357.03
27,28606.5
28,32383.85
29,28104.13
30,13976.0
31,27142.98
32,32713.02
33,28602.48
34,17777.78
35,28566.58
36,26344.87
37,21244.08
38,21424.5
39,31970.86
40,24752.62
41,30812.09
42,40107.76
43,48900.92
44,37155.12
45,28333.54
46,24127.98
47,20643.98
48,23114.29
49,19724.25
50,24295.8
51,23371.45
52,19188.06
53,23770.9
54,23529.379999999997
55,25602.81
56,20163.37
57,19497.77
58,38510.06
59,41769.29
60,15538.74
61,14554.35
62,25145.96
63,30105.01
64,22595.95
65,21144.04
66,29334.94
67,7277.15
68,36933.07
69,28195.65
70,31861.55
71,37804.43
72,10205.43
73,14571.52
74,19174.08
75,22695.62
76,29260.08
77,23329.18
78,23501.65
79,12415.59
80,20200.31
81,4711.58
82,39607.77
83,25762.69
84,34412.29
85,31410.09
86,38479.79
87,19679.88
88,28908.079999999998
89,35609.49
90,17726.44
91,46878.84
92,22593.04
93,30908.72
94,21210.260000000002
95,16454.67
96,23381.68
97,25308.64
98,21251.11
99,25498.86
100,22806.73
101,15182.300000000001
102,8272.01
103,33385.340000000004
104,22031.09
105,43689.07
106,21735.14
107,23030.97
108,27988.14
109,12626.41
110,36645.79
111,18670.28
112,43889.62
113,33382.11
114,34763.54
115,41455.54
116,20211.27
117,22918.58
118,38727.28
119,26062.46
120,36509.0
121,15867.45
122,29076.120000000003
123,20605.06
124,34782.33
125,17825.6
126,38531.38
127,9604.53
128,18480.52
129,32051.14
130,11983.06
131,18215.41
132,23930.22
133,17262.48
134,19310.61
135,46730.94
136,24352.760000000002
137,23960.48
138,26626.13
139,25229.88
140,24204.4
141,30905.8
142,21683.88
143,19259.35
144,33778.46
145,39719.1
146,38047.61
147,35643.46
148,42615.25
149,25976.43
150,39135.12
151,27112.75
152,27946.88
153,13853.13
154,30298.8
155,22824.15
156,37167.97
157,20443.3
158,32172.91
159,26303.55
160,26615.7
161,36034.06
162,13763.62
163,30371.47
164,15232.57
165,33299.41
166,33150.94
167,48879.840000000004
168,15947.880000000001
169,33888.95
170,12603.99
171,29088.629999999997
172,13518.130000000001
173,22982.239999999998
174,13043.55
175,29687.95
176,23133.079999999998
177,44943.56
178,35541.42
179,13791.8
180,43216.28
181,25508.92
182,23779.67
183,34548.54
184,26725.149999999998
185,27009.53
186,22301.52
187,18877.97
188,23158.54
189,28875.46
190,12562.97
191,26369.97
192,43621.53
193,33611.92
194,42564.16
195,26268.58
196,18877.25
197,35482.92
198,16009.36
199,19086.55
200,30966.87
201,22367.95
202,36107.03
203,25154.89
204,26027.39
205,29682.61
206,29220.8
207,28374.47
208,26263.75
209,11194.2
210,38472.39
211,15765.43
212,33677.3
213,19037.61
214,11616.789999999999
215,30527.14
216,41681.95
217,36079.83
218,39204.92
219,15839.1
220,32156.65
221,19659.239999999998
222,29677.53
223,37367.04
224,28133.16
225,22317.760000000002
226,29496.22
227,36567.63
228,21294.95
229,26769.940000000002
230,25289.2
231,22164.31
232,25386.58
233,17535.25
234,12624.07
235,30313.48
236,31432.55
237,44513.11
238,17757.84
239,8535.57
240,31734.86
241,28015.3
242,14124.25
243,23056.8
244,35794.01
245,31207.92
246,15513.060000000001
247,14651.380000000001
248,28850.91
249,32385.63
250,23670.88
251,17840.32
252,13805.41
253,24346.34
254,31028.55
255,21996.1
256,9673.64
257,41084.0
258,11590.279999999999
259,26322.9
260,23661.32
261,19763.46
262,23095.190000000002
263,28865.47
264,14385.380000000001
265,11231.41
266,26898.5
267,15783.41
268,5647.92
269,23204.48
270,24871.93
271,51226.77
272,30267.71
273,23675.28
274,12678.51
275,10231.4
276,44542.79
